work_year,salary,salary_in_usd,job_title,job_category,salary_currency,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022.0,186453.0,165772.0,Machine Learning Engineer  (Remote),Data Science,INR,UK,SE,FL,Hybrid,MX,S
2022.0,-142296.0,174973.0,Data Engineer  ,Data Science,EUR,DE,SE,FL,Hybrid,DE,S
2021.0,115094.0,120374.0,Data Analyst  ,Data Science,GBP,CN,MI,PT,Hybrid,UK,S
2022.0,117905.0,183669.0,Data Engineer  ,Data Science,us dolars,IN,MI,FL,Hybrid,JP,S
2021.0,55407.0,194500.0,Data Analyst  in office,Analysis,EUR,MX,EN,PT,Remote,CN,L
2021.0,-92552.0,196759.0,Machine Learning Engineer  ,Data Science,EUR,IN,SE,CT,In-person,CN,S
2022.0,197011.0,59493.0,Data Scientist  ,ML/AI,EUR,US,MI,PT,Remote,UK,L
2021.0,122303.0,155074.0,Data Engineer  ,ML/AI,JPY,CN,EX,FL,In-person,JP,M
2022.0,187242.0,81224.0,Data Engineer  ,Analysis,GBP,UK,MI,FT,In-person,IN,M
2022.0,101908.0,61852.0,Data Engineer  ,Engineering,JPY,US,EX,CT,In-person,IN,S
2020.0,154506.0,40932.0,Data Analyst  ,Engineering,EUR,DE,EN,FL,In-person,US,S
2022.0,52369.0,118545.0,Machine Learning Engineer  ,ML/AI,INR,DE,EX,FL,Remote,MX,M
2020.0,35900.0,63583.0,Data Engineer  ,ML/AI,JPY,JP,SE,FL,In-person,UK,M
2022.0,70733.0,59865.0,Data Engineer  in office,Analysis,INR,US,EN,CT,Hybrid,UK,S
2022.0,117236.0,173361.0,Data Scientist  (Remote),Engineering,EUR,CN,EN,FT,Hybrid,IN,S
2020.0,161661.0,100270.0,Data Scientist  in office,Data Science,EUR,US,SE,FT,In-person,IN,S
2020.0,90044.0,115549.0,Machine Learning Engineer  in office,Data Science,INR,US,EN,FT,Hybrid,IN,S
2022.0,115553.0,196593.0,Machine Learning Engineer  ,Data Science,EUR,US,EN,FL,Hybrid,CN,S
2021.0,118435.0,167577.0,Statistician  ,Data Science,INR,IN,EX,PT,In-person,CN,L
2020.0,79008.0,160768.0,Data Scientist  ,Analysis,JPY,JP,MI,FL,In-person,US,L
2021.0,96794.0,74327.0,Statistician  ,ML/AI,EUR,MX,SE,FT,In-person,US,L
2021.0,109134.0,143209.0,Data Analyst  (Remote),Analysis,JPY,UK,MI,CT,Remote,DE,S
2021.0,163938.0,144889.0,Statistician  (Remote),Engineering,us dolars,UK,SE,PT,In-person,CN,M
2020.0,82890.0,48409.0,Data Engineer  in office,ML/AI,EUR,UK,EX,PT,In-person,UK,M
2021.0,145259.0,180589.0,Statistician  (Remote),Data Science,INR,IN,EN,FL,Remote,US,S
2020.0,59404.0,74533.0,Machine Learning Engineer  in office,Analysis,us dolars,JP,EN,CT,Hybrid,JP,L
2021.0,95223.0,191547.0,Data Analyst  ,Analysis,JPY,CN,MI,PT,Remote,UK,M
2022.0,30637.0,45327.0,Data Engineer  in office,Data Science,JPY,JP,MI,FT,Hybrid,DE,S
2022.0,133186.0,85344.0,Statistician  in office,Analysis,INR,IN,MI,FL,Remote,IN,L
2020.0,45828.0,33671.0,Data Analyst  (Remote),Data Science,us dolars,CN,EN,FL,In-person,DE,L
2022.0,131976.0,121908.0,Data Analyst  in office,Engineering,GBP,US,EN,FT,Remote,UK,L
2022.0,75097.0,80756.0,Data Engineer  ,ML/AI,INR,DE,EX,FT,In-person,IN,L
2021.0,143271.0,189152.0,Statistician  ,Engineering,JPY,US,SE,FT,Hybrid,DE,L
2020.0,62022.0,54544.0,Data Analyst  ,Engineering,EUR,UK,MI,PT,In-person,DE,L
2021.0,62202.0,106347.0,Data Analyst  ,Data Science,us dolars,US,EN,CT,Remote,UK,L
2021.0,58704.0,48733.0,Data Scientist  (Remote),Analysis,GBP,IN,SE,PT,Remote,US,L
2021.0,121411.0,78093.0,Data Analyst  in office,Engineering,EUR,UK,MI,CT,Hybrid,JP,L
2021.0,-159688.0,135424.0,Data Scientist  in office,Data Science,EUR,DE,SE,FL,In-person,DE,S
2021.0,53641.0,125595.0,Statistician  in office,Engineering,INR,CN,SE,CT,Hybrid,JP,S
2021.0,67479.0,67487.0,Statistician  in office,Analysis,INR,CN,SE,FT,In-person,CN,M
2021.0,52027.0,150931.0,Statistician  ,Analysis,us dolars,UK,SE,PT,In-person,CN,S
2020.0,72912.0,70849.0,Machine Learning Engineer  (Remote),Data Science,EUR,MX,SE,FT,Hybrid,UK,S
2022.0,138227.0,175622.0,Statistician  in office,Engineering,us dolars,MX,EX,FL,Hybrid,MX,S
2021.0,158773.0,106400.0,Data Analyst  in office,ML/AI,EUR,US,MI,PT,In-person,UK,M
2021.0,139658.0,159120.0,Data Engineer  (Remote),Analysis,EUR,MX,MI,PT,Hybrid,MX,M
2021.0,72692.0,120930.0,Data Scientist  in office,Data Science,INR,JP,SE,FT,In-person,MX,M
2021.0,128884.0,79699.0,Machine Learning Engineer  (Remote),Engineering,us dolars,JP,EN,PT,Hybrid,MX,S
2021.0,62209.0,120470.0,Statistician  in office,ML/AI,INR,CN,SE,FT,Hybrid,US,M
2021.0,86738.0,174779.0,Statistician  (Remote),Analysis,GBP,JP,EN,CT,Hybrid,MX,L
2022.0,67242.0,162996.0,Data Engineer  in office,ML/AI,EUR,UK,EX,FL,Remote,IN,M
2022.0,171013.0,125023.0,Data Engineer  ,Analysis,JPY,JP,MI,FT,Hybrid,JP,S
2021.0,-168145.0,59018.0,Machine Learning Engineer  in office,Data Science,EUR,IN,SE,FL,Remote,DE,S
2022.0,137966.0,51031.0,Data Scientist  ,Data Science,EUR,CN,SE,PT,In-person,IN,S
2020.0,198899.0,134985.0,Statistician  (Remote),Engineering,us dolars,DE,EX,FL,In-person,CN,M
2021.0,198168.0,98237.0,Machine Learning Engineer  ,Engineering,JPY,JP,EX,FL,Hybrid,CN,S
2020.0,96457.0,138426.0,Data Analyst  in office,Analysis,us dolars,IN,MI,FL,Remote,JP,M
2020.0,-159257.0,46719.0,Data Analyst  ,Data Science,EUR,IN,SE,PT,In-person,JP,S
2021.0,98309.0,39718.0,Machine Learning Engineer  ,ML/AI,GBP,UK,SE,CT,Remote,MX,L
2022.0,116496.0,30056.0,Statistician  in office,Data Science,GBP,CN,EN,CT,Remote,IN,S
2020.0,191340.0,176424.0,Machine Learning Engineer  (Remote),Analysis,INR,UK,MI,CT,In-person,IN,M
2021.0,140078.0,151743.0,Statistician  ,ML/AI,EUR,DE,EX,FT,Remote,US,L
2020.0,31865.0,77820.0,Data Engineer  in office,Analysis,us dolars,DE,EX,FT,Remote,DE,L
2020.0,126242.0,98683.0,Machine Learning Engineer  ,Data Science,EUR,US,SE,PT,In-person,DE,S
2020.0,58887.0,99073.0,Statistician  (Remote),Analysis,INR,DE,EX,CT,Hybrid,DE,L
2020.0,126047.0,30721.0,Machine Learning Engineer  (Remote),Engineering,INR,CN,EN,FL,Hybrid,MX,S
2022.0,194551.0,70194.0,Machine Learning Engineer  (Remote),Data Science,EUR,MX,SE,CT,Remote,CN,S
2020.0,158863.0,109882.0,Statistician  ,Analysis,us dolars,MX,EX,FT,Hybrid,CN,L
2020.0,70478.0,171983.0,Statistician  in office,Data Science,EUR,CN,MI,PT,In-person,IN,S
2020.0,187473.0,181944.0,Data Scientist  (Remote),Data Science,INR,UK,EN,CT,In-person,US,S
2022.0,189574.0,103072.0,Machine Learning Engineer  in office,Engineering,EUR,IN,EN,FT,In-person,UK,M
2020.0,141750.0,153919.0,Data Analyst  (Remote),Data Science,us dolars,US,SE,FT,Remote,US,L
2020.0,43394.0,115968.0,Machine Learning Engineer  ,Analysis,JPY,MX,EN,FL,In-person,CN,M
2022.0,-170334.0,137251.0,Machine Learning Engineer  ,Data Science,EUR,MX,SE,CT,Remote,MX,S
2022.0,34487.0,74537.0,Statistician  (Remote),Analysis,us dolars,DE,MI,FL,Remote,IN,S
2022.0,188413.0,139254.0,Machine Learning Engineer  in office,Engineering,INR,IN,EX,CT,In-person,US,L
2020.0,138924.0,177932.0,Machine Learning Engineer  in office,Engineering,JPY,UK,EN,PT,In-person,IN,S
2022.0,174642.0,191815.0,Data Analyst  (Remote),Engineering,INR,JP,SE,CT,Remote,JP,L
2022.0,87268.0,102941.0,Statistician  ,Data Science,JPY,US,EN,FL,In-person,JP,S
2020.0,-59605.0,193277.0,Machine Learning Engineer  in office,Data Science,EUR,CN,SE,FL,Hybrid,UK,S
2022.0,101602.0,47645.0,Data Engineer  in office,ML/AI,JPY,IN,SE,FT,Remote,CN,M
2020.0,187795.0,142661.0,Data Scientist  ,Analysis,INR,UK,SE,CT,Remote,MX,L
2021.0,108206.0,101473.0,Data Analyst  in office,Data Science,EUR,UK,SE,CT,In-person,JP,S
2022.0,123375.0,80734.0,Machine Learning Engineer  (Remote),Analysis,INR,US,MI,PT,In-person,UK,S
2021.0,123937.0,191503.0,Data Engineer  ,Engineering,EUR,US,SE,FT,Remote,DE,L
2020.0,86921.0,157705.0,Machine Learning Engineer  (Remote),ML/AI,EUR,DE,EX,FL,Remote,IN,L
2022.0,90760.0,90914.0,Machine Learning Engineer  ,Analysis,us dolars,DE,MI,CT,Remote,MX,L
2020.0,171321.0,47882.0,Statistician  (Remote),Data Science,EUR,CN,EX,FT,In-person,DE,L
2021.0,97847.0,120860.0,Statistician  (Remote),Data Science,GBP,CN,EX,PT,Remote,DE,M
2020.0,127547.0,174051.0,Statistician  (Remote),Analysis,EUR,US,MI,FT,Hybrid,UK,S
2022.0,73839.0,130513.0,Data Engineer  in office,Engineering,INR,US,EN,CT,Hybrid,IN,L
2022.0,69673.0,148751.0,Machine Learning Engineer  in office,ML/AI,EUR,IN,EX,CT,In-person,UK,S
2021.0,33642.0,74828.0,Data Scientist  (Remote),Analysis,INR,DE,MI,PT,Remote,US,M
2020.0,167410.0,168300.0,Data Analyst  (Remote),Data Science,INR,UK,EX,PT,Remote,DE,M
2022.0,81761.0,150354.0,Statistician  ,ML/AI,GBP,MX,SE,PT,Hybrid,IN,L
2021.0,39622.0,104217.0,Statistician  in office,Data Science,EUR,MX,EX,FL,Remote,DE,S
2022.0,78423.0,136500.0,Machine Learning Engineer  (Remote),Data Science,EUR,MX,EX,FT,In-person,US,S
2022.0,72873.0,103803.0,Machine Learning Engineer  in office,Analysis,JPY,DE,EX,FT,In-person,CN,S
2020.0,77565.0,100908.0,Data Engineer  ,Data Science,JPY,DE,SE,FT,In-person,US,M
2022.0,168878.0,68918.0,Data Engineer  (Remote),ML/AI,us dolars,US,EX,FL,Remote,CN,M
2020.0,30757.0,171992.0,Statistician  in office,Engineering,INR,MX,MI,FT,Remote,IN,L
2022.0,182542.0,57785.0,Machine Learning Engineer  ,Analysis,GBP,US,EX,PT,Hybrid,IN,S
2021.0,36220.0,112757.0,Data Scientist  (Remote),ML/AI,JPY,DE,MI,FT,Hybrid,MX,S
2022.0,138408.0,186250.0,Data Analyst  in office,Analysis,EUR,JP,EX,FL,In-person,US,M
2020.0,121851.0,129490.0,Machine Learning Engineer  ,Data Science,us dolars,JP,EX,FL,Remote,DE,L
2020.0,123329.0,101997.0,Machine Learning Engineer  ,Data Science,EUR,CN,SE,FT,Remote,JP,S
2021.0,157636.0,139768.0,Data Engineer  in office,ML/AI,EUR,DE,EN,FL,In-person,DE,L
2022.0,183577.0,44052.0,Data Analyst  (Remote),ML/AI,EUR,MX,EN,FL,In-person,JP,M
2022.0,58288.0,79383.0,Statistician  in office,Engineering,INR,JP,SE,FT,Hybrid,UK,S
2021.0,104492.0,161399.0,Machine Learning Engineer  ,ML/AI,INR,CN,MI,FL,Hybrid,IN,L
2022.0,49109.0,118301.0,Statistician  ,ML/AI,JPY,CN,SE,FL,In-person,US,L
2022.0,164569.0,100775.0,Machine Learning Engineer  (Remote),Analysis,JPY,DE,MI,FT,Remote,UK,S
2020.0,87326.0,105614.0,Statistician  in office,Data Science,EUR,CN,SE,PT,Hybrid,DE,L
2022.0,39864.0,168110.0,Data Analyst  (Remote),ML/AI,EUR,US,SE,PT,In-person,JP,M
2022.0,117562.0,38048.0,Data Engineer  (Remote),Engineering,JPY,US,EX,FL,Remote,CN,L
2021.0,104310.0,44954.0,Data Analyst  ,ML/AI,JPY,US,EX,CT,In-person,IN,S
2021.0,149454.0,142010.0,Data Scientist  in office,Data Science,EUR,UK,EX,CT,Remote,JP,M
2020.0,-51017.0,43225.0,Data Engineer  in office,Data Science,EUR,US,SE,FT,Hybrid,DE,S
2022.0,162893.0,135622.0,Data Analyst  ,Analysis,EUR,MX,EX,FT,Remote,MX,S
2022.0,80337.0,174603.0,Data Scientist  ,Data Science,GBP,US,SE,PT,Remote,DE,S
2022.0,113557.0,39530.0,Machine Learning Engineer  in office,ML/AI,GBP,DE,MI,CT,In-person,US,S
2020.0,40372.0,54791.0,Machine Learning Engineer  (Remote),Analysis,EUR,JP,EN,FT,Remote,UK,S
2020.0,130050.0,135806.0,Statistician  (Remote),Data Science,EUR,MX,SE,CT,Hybrid,IN,S
2021.0,123938.0,162721.0,Data Engineer  in office,ML/AI,JPY,JP,MI,CT,In-person,US,L
2020.0,-101333.0,174544.0,Machine Learning Engineer  (Remote),Data Science,EUR,US,SE,FL,In-person,JP,S
2022.0,46283.0,120721.0,Data Engineer  (Remote),Engineering,EUR,US,SE,FL,In-person,MX,M
2022.0,70857.0,57134.0,Machine Learning Engineer  ,Analysis,GBP,US,MI,CT,In-person,UK,S
2020.0,81772.0,173516.0,Statistician  (Remote),Engineering,EUR,CN,MI,PT,In-person,IN,S
2022.0,125856.0,159326.0,Data Analyst  ,ML/AI,JPY,DE,EN,FT,In-person,JP,M
2022.0,192333.0,68217.0,Statistician  (Remote),Analysis,GBP,DE,EN,FT,In-person,IN,L
2020.0,-36107.0,183138.0,Data Scientist  in office,Data Science,EUR,DE,SE,PT,Hybrid,IN,S
2020.0,65561.0,161067.0,Machine Learning Engineer  ,Data Science,INR,JP,EX,FL,Hybrid,CN,L
2022.0,196340.0,66189.0,Data Scientist  in office,Analysis,INR,MX,MI,FL,In-person,CN,S
2022.0,192680.0,148903.0,Data Scientist  ,ML/AI,us dolars,MX,EX,PT,Remote,MX,M
2022.0,43138.0,196561.0,Data Engineer  (Remote),Data Science,GBP,UK,EN,PT,In-person,UK,M
2021.0,198765.0,57284.0,Machine Learning Engineer  in office,Engineering,GBP,JP,MI,FL,In-person,CN,M
2021.0,154143.0,54698.0,Data Scientist  ,Analysis,us dolars,DE,EX,CT,In-person,JP,L
2021.0,182320.0,49637.0,Data Analyst  in office,Analysis,GBP,IN,SE,FL,Remote,CN,M
2020.0,48632.0,90405.0,Data Scientist  in office,ML/AI,us dolars,UK,SE,CT,Hybrid,MX,M
2021.0,77547.0,91305.0,Data Analyst  (Remote),Data Science,EUR,US,SE,FT,Remote,MX,L
2020.0,42100.0,63556.0,Data Engineer  ,Analysis,JPY,CN,MI,FT,Remote,US,S
2020.0,-77930.0,112176.0,Data Scientist  (Remote),Data Science,EUR,JP,SE,CT,Remote,US,S
2021.0,83025.0,150644.0,Statistician  in office,Data Science,us dolars,CN,MI,CT,Remote,US,L
2021.0,108944.0,127012.0,Data Engineer  ,Analysis,us dolars,UK,MI,FL,In-person,MX,M
2021.0,180441.0,33654.0,Data Analyst  in office,Data Science,us dolars,MX,MI,PT,Hybrid,IN,S
2022.0,179532.0,70428.0,Data Engineer  in office,Data Science,EUR,IN,EX,CT,Remote,DE,S
2021.0,121641.0,159814.0,Data Scientist  ,Data Science,us dolars,UK,EX,FT,Hybrid,UK,S
2022.0,126920.0,199108.0,Machine Learning Engineer  in office,ML/AI,JPY,JP,SE,FL,In-person,US,L
2020.0,162533.0,125379.0,Machine Learning Engineer  ,Data Science,JPY,DE,EX,FT,In-person,UK,S
2022.0,72362.0,95355.0,Data Analyst  ,Data Science,INR,US,EX,FL,Hybrid,CN,M
2021.0,58610.0,76257.0,Data Analyst  ,Data Science,EUR,DE,SE,PT,In-person,IN,S
2020.0,134334.0,143435.0,Machine Learning Engineer  in office,Engineering,JPY,DE,SE,PT,Hybrid,UK,L
2020.0,-182067.0,135866.0,Data Analyst  (Remote),Data Science,EUR,JP,SE,FT,Remote,US,S
2020.0,37717.0,177059.0,Data Engineer  in office,Data Science,GBP,DE,SE,CT,In-person,US,M
2022.0,94022.0,181882.0,Statistician  in office,Engineering,GBP,DE,EX,CT,In-person,MX,L
2021.0,81645.0,50311.0,Statistician  ,Engineering,us dolars,JP,MI,FT,Hybrid,IN,S
2020.0,59550.0,142695.0,Data Engineer  (Remote),Analysis,us dolars,JP,SE,CT,In-person,IN,M
2020.0,164648.0,84478.0,Statistician  ,Data Science,GBP,IN,EN,CT,Remote,JP,M
2020.0,70868.0,195992.0,Data Scientist  in office,Engineering,INR,DE,EX,FT,In-person,IN,L
2022.0,128039.0,38738.0,Data Engineer  (Remote),ML/AI,INR,UK,EN,FT,In-person,DE,S
2022.0,166800.0,103424.0,Data Analyst  ,Analysis,us dolars,MX,EN,PT,In-person,DE,M
2021.0,62800.0,92232.0,Data Engineer  in office,Analysis,GBP,US,EX,FT,Hybrid,US,L
2022.0,40886.0,138400.0,Machine Learning Engineer  in office,Data Science,INR,CN,EN,PT,Remote,CN,L
2020.0,75805.0,35474.0,Data Analyst  (Remote),Data Science,us dolars,US,EX,PT,Remote,IN,L
2021.0,62532.0,89026.0,Machine Learning Engineer  in office,Analysis,GBP,JP,EN,FL,In-person,DE,L
2020.0,142765.0,96024.0,Data Analyst  in office,ML/AI,EUR,CN,MI,CT,In-person,MX,L
2020.0,58688.0,80974.0,Statistician  in office,Data Science,GBP,JP,SE,FT,Hybrid,DE,M
2022.0,172135.0,185216.0,Data Engineer  in office,Data Science,GBP,MX,MI,CT,Remote,MX,L
2021.0,53089.0,35622.0,Data Scientist  (Remote),Analysis,JPY,MX,MI,FL,In-person,JP,S
2022.0,63585.0,127366.0,Data Analyst  in office,Analysis,JPY,IN,EN,FT,Remote,CN,S
2022.0,32438.0,69214.0,Data Analyst  in office,Data Science,EUR,DE,SE,FT,In-person,MX,M
2021.0,123095.0,123184.0,Machine Learning Engineer  in office,Engineering,EUR,JP,SE,FL,In-person,CN,L
2020.0,-184284.0,128233.0,Statistician  (Remote),Data Science,EUR,MX,SE,CT,Hybrid,IN,S
2020.0,178055.0,186295.0,Machine Learning Engineer  (Remote),Engineering,INR,JP,EN,PT,Remote,JP,M
2021.0,44026.0,51865.0,Machine Learning Engineer  ,Analysis,EUR,US,MI,FL,Remote,CN,L
2020.0,150168.0,73026.0,Statistician  (Remote),Engineering,GBP,DE,EX,FL,In-person,CN,L
2021.0,80998.0,119037.0,Data Scientist  in office,ML/AI,us dolars,IN,EX,FT,In-person,MX,S
2021.0,87013.0,187938.0,Machine Learning Engineer  (Remote),Analysis,JPY,MX,EX,PT,Hybrid,UK,L
2022.0,81039.0,173488.0,Machine Learning Engineer  (Remote),Data Science,INR,JP,SE,FL,In-person,JP,M
2021.0,195675.0,55775.0,Data Analyst  (Remote),Data Science,GBP,JP,EX,CT,Remote,CN,S
2022.0,136446.0,190152.0,Statistician  in office,Analysis,us dolars,JP,MI,FL,Hybrid,UK,M
2020.0,128452.0,49374.0,Data Engineer  ,Analysis,JPY,US,EX,CT,Remote,UK,M
2020.0,174177.0,88451.0,Data Scientist  ,ML/AI,us dolars,MX,SE,FT,Hybrid,CN,L
2020.0,97182.0,112141.0,Data Scientist  ,Data Science,EUR,JP,SE,FL,Remote,MX,S
2020.0,82147.0,45684.0,Statistician  ,Data Science,EUR,JP,EX,CT,In-person,IN,S
2022.0,105400.0,54002.0,Data Analyst  (Remote),ML/AI,JPY,US,SE,FT,Remote,UK,M
2020.0,76434.0,121551.0,Data Analyst  ,Data Science,us dolars,JP,EX,FT,Remote,UK,M
2021.0,56515.0,160704.0,Statistician  (Remote),Engineering,EUR,DE,SE,FT,Hybrid,JP,L
2021.0,88001.0,184044.0,Data Analyst  (Remote),Analysis,INR,DE,EN,FL,Remote,IN,M
2021.0,178032.0,36309.0,Data Scientist  ,Engineering,GBP,US,EN,FT,In-person,MX,M
2022.0,139591.0,114675.0,Data Scientist  in office,Data Science,GBP,DE,MI,FT,Hybrid,IN,M
2020.0,75778.0,98326.0,Data Engineer  ,Engineering,JPY,CN,EN,CT,Hybrid,UK,M
2020.0,192013.0,37826.0,Statistician  ,Data Science,EUR,CN,SE,FT,Remote,MX,S
2020.0,125849.0,173206.0,Machine Learning Engineer  (Remote),Data Science,INR,CN,SE,FL,Hybrid,JP,S
2022.0,133083.0,180765.0,Machine Learning Engineer  (Remote),Data Science,EUR,IN,SE,PT,In-person,JP,S
2021.0,131276.0,151840.0,Data Engineer  ,Analysis,JPY,JP,EX,FT,Remote,JP,M
2021.0,86908.0,165126.0,Data Engineer  ,Engineering,us dolars,IN,EX,FL,In-person,JP,S
2020.0,179501.0,177162.0,Data Analyst  in office,ML/AI,INR,DE,MI,FT,Remote,US,L
2021.0,124048.0,135985.0,Data Engineer  in office,ML/AI,us dolars,US,MI,FL,Remote,MX,L
2021.0,175919.0,45569.0,Data Engineer  in office,Data Science,GBP,CN,EX,FT,Hybrid,CN,S
2022.0,-64256.0,193299.0,Machine Learning Engineer  (Remote),Data Science,EUR,US,SE,CT,Hybrid,UK,S
2022.0,-157025.0,36508.0,Data Analyst  in office,Data Science,EUR,IN,SE,PT,Hybrid,UK,S
2022.0,189846.0,177680.0,Data Engineer  (Remote),Data Science,GBP,DE,SE,PT,Remote,UK,M
2022.0,-157343.0,119059.0,Data Engineer  (Remote),Data Science,EUR,MX,SE,FL,Hybrid,IN,S
2020.0,39127.0,127475.0,Data Analyst  ,Analysis,GBP,JP,EX,FL,In-person,MX,S
2022.0,148251.0,160447.0,Statistician  in office,Analysis,INR,MX,EN,PT,Hybrid,IN,M
2021.0,189277.0,160819.0,Data Analyst  ,Engineering,GBP,DE,EX,CT,In-person,JP,S
2020.0,111163.0,140648.0,Machine Learning Engineer  ,Analysis,INR,CN,SE,CT,Hybrid,CN,L
2021.0,148279.0,54520.0,Statistician  (Remote),Data Science,us dolars,DE,EX,FT,Remote,MX,M
2021.0,131824.0,60932.0,Data Scientist  in office,Data Science,JPY,US,SE,CT,Hybrid,IN,L
2021.0,68664.0,49734.0,Data Analyst  ,Data Science,INR,UK,EN,PT,In-person,DE,M
2022.0,86795.0,99363.0,Machine Learning Engineer  (Remote),Data Science,GBP,CN,MI,PT,In-person,MX,M
2022.0,151729.0,80555.0,Statistician  ,Engineering,JPY,MX,EN,CT,Hybrid,UK,M
2020.0,-193405.0,46257.0,Data Analyst  in office,Data Science,EUR,JP,SE,CT,In-person,UK,S
2020.0,66079.0,193266.0,Data Engineer  (Remote),ML/AI,INR,CN,MI,PT,Remote,US,L
2022.0,114225.0,177865.0,Data Analyst  in office,Analysis,INR,CN,MI,PT,Hybrid,US,S
2021.0,54259.0,195756.0,Data Scientist  ,Data Science,EUR,JP,EX,PT,In-person,DE,S
2020.0,56571.0,123550.0,Data Analyst  (Remote),ML/AI,EUR,MX,EN,PT,Hybrid,US,L
2022.0,81119.0,83219.0,Statistician  ,Engineering,JPY,CN,SE,PT,Hybrid,CN,L
2022.0,38009.0,163931.0,Statistician  ,Data Science,EUR,US,SE,CT,Hybrid,JP,S
2022.0,140210.0,69840.0,Data Analyst  in office,Data Science,GBP,DE,MI,CT,Hybrid,JP,S
2021.0,-91829.0,127392.0,Statistician  (Remote),Data Science,EUR,US,SE,FT,Hybrid,MX,S
2022.0,68230.0,89327.0,Data Engineer  ,Engineering,JPY,DE,SE,FT,Remote,UK,L
2022.0,141364.0,143827.0,Data Analyst  in office,ML/AI,us dolars,UK,EX,FL,Hybrid,JP,S
2022.0,86049.0,64819.0,Data Engineer  in office,Engineering,EUR,CN,MI,FT,Remote,US,L
2022.0,131762.0,115621.0,Data Engineer  (Remote),Data Science,EUR,UK,SE,CT,Hybrid,DE,S
2020.0,153273.0,131272.0,Machine Learning Engineer  ,Analysis,JPY,IN,MI,FT,In-person,CN,L
2020.0,149466.0,71704.0,Data Analyst  (Remote),Data Science,EUR,MX,SE,FT,Hybrid,JP,S
2022.0,197570.0,90379.0,Statistician  (Remote),Analysis,GBP,DE,SE,CT,Hybrid,UK,M
2021.0,149053.0,185390.0,Data Engineer  ,Analysis,JPY,US,EN,PT,In-person,UK,M
2020.0,189892.0,110987.0,Machine Learning Engineer  (Remote),Engineering,JPY,US,EX,CT,Remote,CN,L
2022.0,125018.0,141561.0,Data Analyst  (Remote),ML/AI,INR,CN,MI,CT,Remote,US,L
2020.0,62795.0,35274.0,Data Analyst  (Remote),Engineering,JPY,US,EN,FL,Remote,JP,M
